,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,DailyOpen,S_High,S_Low,Signal,Price_exit,Price
0,0,0,0,2015-02-02 09:15:00+05:30,19778.95,19778.95,19594.65,19635.2,0,19778.95,,,0,19635.2,19635.2
1,1,1,1,2015-02-02 10:15:00+05:30,19639.5,19708.3,19600.25,19660.45,0,19778.95,,,0,0.0,0.0
2,2,2,2,2015-02-02 11:15:00+05:30,19657.1,19689.4,19564.5,19609.95,0,19778.95,,,0,0.0,0.0
3,3,3,3,2015-02-02 12:15:00+05:30,19609.95,19625.75,19575.8,19611.8,0,19778.95,,,0,0.0,0.0
4,4,4,4,2015-02-02 13:15:00+05:30,19607.9,19991.4,19601.6,19948.65,0,19778.95,,,0,0.0,0.0
5,5,5,5,2015-02-02 14:15:00+05:30,19948.65,19957.2,19776.25,19855.65,0,19778.95,,,0,0.0,0.0
6,6,6,6,2015-02-02 15:15:00+05:30,19853.95,19913.8,19838.3,19902.9,0,19778.95,,,0,0.0,0.0
7,7,7,7,2015-02-03 09:15:00+05:30,19941.7,19963.7,19798.55,19806.65,0,19941.7,,,0,0.0,0.0
8,8,8,8,2015-02-03 10:15:00+05:30,19806.65,19922.5,19642.15,19918.05,0,19941.7,,,0,0.0,0.0
9,9,9,9,2015-02-03 11:15:00+05:30,19915.55,19915.55,19442.0,19482.5,0,19941.7,,,0,0.0,0.0
10,10,10,10,2015-02-03 12:15:00+05:30,19482.5,19510.3,19384.25,19394.3,0,19941.7,,,0,0.0,0.0
11,11,11,11,2015-02-03 13:15:00+05:30,19394.3,19514.1,19375.0,19456.8,0,19941.7,,,0,0.0,0.0
12,12,12,12,2015-02-03 14:15:00+05:30,19456.8,19539.0,19400.55,19414.25,0,19941.7,,,0,0.0,0.0
13,13,13,13,2015-02-03 15:15:00+05:30,19414.25,19414.25,19303.5,19329.95,0,19941.7,,,0,0.0,0.0
14,14,14,14,2015-02-04 09:15:00+05:30,19423.25,19423.25,19133.55,19156.45,0,19423.25,,,0,0.0,0.0
15,15,15,15,2015-02-04 10:15:00+05:30,19156.45,19305.7,19113.35,19234.15,0,19423.25,,,0,0.0,0.0
16,16,16,16,2015-02-04 11:15:00+05:30,19234.15,19306.3,19222.8,19223.9,0,19423.25,,,0,0.0,0.0
17,17,17,17,2015-02-04 12:15:00+05:30,19223.9,19356.35,19178.1,19328.4,0,19423.25,,,0,0.0,0.0
18,18,18,18,2015-02-04 13:15:00+05:30,19328.4,19340.25,19248.65,19295.3,0,19423.25,,,0,0.0,0.0
19,19,19,19,2015-02-04 14:15:00+05:30,19293.2,19346.85,19182.75,19185.55,0,19423.25,,,0,0.0,0.0
20,20,20,20,2015-02-04 15:15:00+05:30,19185.55,19185.8,19117.5,19157.05,0,19423.25,,,0,0.0,0.0
21,21,21,21,2015-02-05 09:15:00+05:30,19170.15,19306.75,19102.95,19276.35,0,19170.15,,,0,0.0,0.0
22,22,22,22,2015-02-05 10:15:00+05:30,19276.35,19307.65,19149.75,19211.45,0,19170.15,,,0,0.0,0.0
23,23,23,23,2015-02-05 11:15:00+05:30,19210.4,19257.05,19186.0,19218.65,0,19170.15,,,0,0.0,0.0
24,24,24,24,2015-02-05 12:15:00+05:30,19216.75,19272.45,19214.95,19272.45,0,19170.15,,,0,0.0,0.0
25,25,25,25,2015-02-05 13:15:00+05:30,19272.45,19444.65,19262.8,19407.45,0,19170.15,,,0,0.0,0.0
26,26,26,26,2015-02-05 14:15:00+05:30,19404.5,19422.55,18990.35,19049.25,0,19170.15,,,0,0.0,0.0
27,27,27,27,2015-02-05 15:15:00+05:30,19049.25,19056.65,18977.9,19047.85,0,19170.15,,,0,0.0,0.0
28,28,28,28,2015-02-06 09:15:00+05:30,19066.25,19119.7,18821.45,18827.4,0,19066.25,,,0,0.0,0.0
29,29,29,29,2015-02-06 10:15:00+05:30,18827.4,18865.95,18740.35,18841.2,0,19066.25,,,0,0.0,0.0
30,30,30,30,2015-02-06 11:15:00+05:30,18841.2,19007.1,18811.25,18941.0,0,19066.25,,,0,0.0,0.0
31,31,31,31,2015-02-06 12:15:00+05:30,18941.0,19027.6,18888.5,18920.5,0,19066.25,,,0,0.0,0.0
32,32,32,32,2015-02-06 13:15:00+05:30,18920.5,18976.5,18876.2,18949.1,0,19066.25,,,0,0.0,0.0
33,33,33,33,2015-02-06 14:15:00+05:30,18949.1,18949.1,18751.45,18774.6,0,19066.25,,,0,0.0,0.0
34,34,34,34,2015-02-06 15:15:00+05:30,18774.6,18806.7,18744.1,18788.3,0,19066.25,,,0,0.0,0.0
35,35,35,35,2015-02-09 09:15:00+05:30,18650.0,18650.6,18499.3,18543.5,0,18650.0,,,0,0.0,0.0
36,36,36,36,2015-02-09 10:15:00+05:30,18543.5,18584.05,18505.65,18520.85,0,18650.0,,,0,0.0,0.0
37,37,37,37,2015-02-09 11:15:00+05:30,18521.1,18615.65,18521.1,18566.15,0,18650.0,,,0,0.0,0.0
38,38,38,38,2015-02-09 12:15:00+05:30,18566.15,18650.2,18559.4,18627.55,0,18650.0,,,0,0.0,0.0
39,39,39,39,2015-02-09 13:15:00+05:30,18627.55,18667.05,18478.35,18509.45,0,18650.0,,,0,0.0,0.0
40,40,40,40,2015-02-09 14:15:00+05:30,18509.45,18520.45,18394.55,18407.1,0,18650.0,,,0,0.0,0.0
41,41,41,41,2015-02-09 15:15:00+05:30,18409.6,18426.65,18379.6,18409.9,0,18650.0,,,0,0.0,0.0
42,42,42,42,2015-02-10 09:15:00+05:30,18242.95,18815.55,18226.9,18683.1,0,18242.95,,,0,0.0,0.0
43,43,43,43,2015-02-10 10:15:00+05:30,18683.1,18830.8,18652.85,18811.35,0,18242.95,,,0,0.0,0.0
44,44,44,44,2015-02-10 11:15:00+05:30,18811.9,18933.7,18740.05,18753.05,0,18242.95,,,0,0.0,0.0
45,45,45,45,2015-02-10 12:15:00+05:30,18753.05,18804.9,18662.45,18714.1,0,18242.95,,,0,0.0,0.0
46,46,46,46,2015-02-10 13:15:00+05:30,18714.1,18737.2,18409.9,18463.65,0,18242.95,,,0,0.0,0.0
47,47,47,47,2015-02-10 14:15:00+05:30,18463.65,18783.45,18437.4,18693.7,0,18242.95,,18403.85,0,0.0,0.0
48,48,48,48,2015-02-10 15:15:00+05:30,18693.7,18819.85,18689.9,18803.7,0,18242.95,,,0,0.0,0.0
49,49,49,49,2015-02-11 09:15:00+05:30,18890.75,19011.3,18890.75,18993.8,0,18890.75,,,0,0.0,0.0
50,50,50,50,2015-02-11 10:15:00+05:30,18993.8,19041.15,18920.85,18974.2,0,18890.75,,,0,0.0,0.0
51,51,51,51,2015-02-11 11:15:00+05:30,18971.95,19006.5,18913.6,18989.7,0,18890.75,,,0,0.0,0.0
52,52,52,52,2015-02-11 12:15:00+05:30,18989.7,19015.6,18941.6,18987.35,0,18890.75,,,0,0.0,0.0
53,53,53,53,2015-02-11 13:15:00+05:30,18985.9,19040.3,18909.7,18994.4,0,18890.75,,,0,0.0,0.0
54,54,54,54,2015-02-11 14:15:00+05:30,18994.4,19051.8,18919.55,18940.2,0,18890.75,,,0,0.0,0.0
55,55,55,55,2015-02-11 15:15:00+05:30,18940.2,18958.15,18913.85,18929.05,0,18890.75,,,0,0.0,0.0
56,56,56,56,2015-02-12 09:15:00+05:30,19073.45,19073.45,18830.85,18858.45,0,19073.45,,,0,0.0,0.0
57,57,57,57,2015-02-12 10:15:00+05:30,18861.7,18881.3,18795.6,18847.1,0,19073.45,,,0,0.0,0.0
58,58,58,58,2015-02-12 11:15:00+05:30,18847.1,18847.75,18748.9,18789.8,0,19073.45,,,0,0.0,0.0
59,59,59,59,2015-02-12 12:15:00+05:30,18789.8,18817.9,18739.85,18780.8,0,19073.45,,,0,0.0,0.0
60,60,60,60,2015-02-12 13:15:00+05:30,18781.7,18937.15,18757.35,18924.35,0,19073.45,,,0,0.0,0.0
61,61,61,61,2015-02-12 14:15:00+05:30,18924.35,19176.8,18907.55,19168.35,0,19073.45,,,0,0.0,0.0
62,62,62,62,2015-02-12 15:15:00+05:30,19168.35,19174.2,19130.05,19164.55,0,19073.45,,,0,0.0,0.0
63,63,63,63,2015-02-13 09:15:00+05:30,19284.3,19296.75,19179.7,19219.8,0,19284.3,,,0,0.0,0.0
64,64,64,64,2015-02-13 10:15:00+05:30,19219.8,19254.65,19164.25,19212.65,0,19284.3,,,0,0.0,0.0
65,65,65,65,2015-02-13 11:15:00+05:30,19212.65,19378.7,19196.3,19315.7,0,19284.3,,,0,0.0,0.0
66,66,66,66,2015-02-13 12:15:00+05:30,19315.7,19372.75,19253.8,19325.65,0,19284.3,,,0,0.0,0.0
67,67,67,67,2015-02-13 13:15:00+05:30,19325.65,19382.25,19310.45,19374.2,0,19284.3,,,0,0.0,0.0
68,68,68,68,2015-02-13 14:15:00+05:30,19374.2,19441.0,19345.2,19365.1,0,19284.3,,,0,0.0,0.0
69,69,69,69,2015-02-13 15:15:00+05:30,19364.3,19368.05,19323.8,19353.2,0,19284.3,,,0,0.0,0.0
70,70,70,70,2015-02-16 09:15:00+05:30,19518.85,19532.7,19412.6,19452.65,0,19518.85,,,0,0.0,0.0
71,71,71,71,2015-02-16 10:15:00+05:30,19452.65,19493.35,19389.65,19389.65,0,19518.85,,,0,0.0,0.0
72,72,72,72,2015-02-16 11:15:00+05:30,19389.65,19406.55,19253.85,19289.3,0,19518.85,,,0,0.0,0.0
73,73,73,73,2015-02-16 12:15:00+05:30,19288.85,19358.05,19250.4,19288.45,0,19518.85,,,0,0.0,0.0
74,74,74,74,2015-02-16 13:15:00+05:30,19288.45,19349.9,19286.65,19314.3,0,19518.85,,,0,0.0,0.0
75,75,75,75,2015-02-16 14:15:00+05:30,19314.3,19382.1,19175.8,19176.75,0,19518.85,19369.7,,0,0.0,0.0
76,76,76,76,2015-02-16 15:15:00+05:30,19173.15,19173.15,19127.15,19156.75,0,19518.85,,,0,0.0,0.0
77,77,77,77,2015-02-18 09:15:00+05:30,19226.4,19311.7,19171.9,19285.3,0,19226.4,,,0,0.0,0.0
78,78,78,78,2015-02-18 10:15:00+05:30,19281.15,19310.15,19210.8,19262.05,0,19226.4,,,0,0.0,0.0
79,79,79,79,2015-02-18 11:15:00+05:30,19259.95,19289.1,19186.15,19197.7,0,19226.4,,,0,0.0,0.0
80,80,80,80,2015-02-18 12:15:00+05:30,19197.7,19261.85,19192.85,19256.9,0,19226.4,,,0,0.0,0.0
81,81,81,81,2015-02-18 13:15:00+05:30,19257.2,19367.25,19213.5,19352.3,0,19226.4,,,0,0.0,0.0
82,82,82,82,2015-02-18 14:15:00+05:30,19352.3,19389.8,19282.45,19292.85,0,19226.4,,19189.95,0,0.0,0.0
83,83,83,83,2015-02-18 15:15:00+05:30,19292.85,19311.55,19260.9,19303.9,0,19226.4,,,0,0.0,0.0
84,84,84,84,2015-02-19 09:15:00+05:30,19296.15,19377.45,19263.85,19294.5,0,19296.15,,,0,0.0,0.0
85,85,85,85,2015-02-19 10:15:00+05:30,19294.5,19295.05,19014.75,19074.3,0,19296.15,,,0,0.0,0.0
86,86,86,86,2015-02-19 11:15:00+05:30,19074.3,19106.05,19030.35,19056.75,0,19296.15,,,0,0.0,0.0
87,87,87,87,2015-02-19 12:15:00+05:30,19059.35,19092.05,18994.4,19017.85,0,19296.15,,,0,0.0,0.0
88,88,88,88,2015-02-19 13:15:00+05:30,19018.45,19032.55,18876.25,18890.95,0,19296.15,,,0,0.0,0.0
89,89,89,89,2015-02-19 14:15:00+05:30,18892.3,19214.4,18888.45,19214.4,0,19296.15,19296.5,,0,0.0,0.0
90,90,90,90,2015-02-19 15:15:00+05:30,19213.55,19259.5,19188.1,19217.85,0,19296.15,,,0,0.0,0.0
91,91,91,91,2015-02-20 09:15:00+05:30,19157.3,19157.3,18882.25,19031.65,0,19157.3,,,0,0.0,0.0
92,92,92,92,2015-02-20 10:15:00+05:30,19027.7,19131.7,19027.7,19101.9,0,19157.3,,,0,0.0,0.0
93,93,93,93,2015-02-20 11:15:00+05:30,19106.9,19276.8,19099.1,19177.7,0,19157.3,,,0,0.0,0.0
94,94,94,94,2015-02-20 12:15:00+05:30,19177.7,19235.85,19129.05,19212.0,0,19157.3,,,0,0.0,0.0
95,95,95,95,2015-02-20 13:15:00+05:30,19212.0,19307.8,19085.55,19193.3,0,19157.3,,,0,0.0,0.0
96,96,96,96,2015-02-20 14:15:00+05:30,19193.3,19217.7,19080.9,19084.8,0,19157.3,,,0,0.0,0.0
97,97,97,97,2015-02-20 15:15:00+05:30,19084.8,19094.1,19019.4,19050.3,0,19157.3,,,0,0.0,0.0
98,98,98,98,2015-02-23 09:15:00+05:30,19199.15,19219.75,19116.7,19134.7,0,19199.15,,,0,0.0,0.0
99,99,99,99,2015-02-23 10:15:00+05:30,19130.8,19195.1,19096.2,19124.3,0,19199.15,,,0,0.0,0.0
100,100,100,100,2015-02-23 11:15:00+05:30,19124.3,19127.05,19063.05,19117.55,0,19199.15,,,0,0.0,0.0
