Date,No of Lots,VIX,Max Debit,Exit,Profit,NAV,bn nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
01/01/20,10,14.6,22440,10:10:00,-6830,693170,18170,32237.9,32348,32057.2,32102.9,0,,700000
02/01/20,10,14,84700,2:30:00,2900,696070,21070,32133.15,32465.45,32121.4,32443.85,0,0.010620536,707434.3751
08/01/20,10,19.9,16375,9:55:00,6300,702370,27370,30995.5,31451.85,30899.55,31373.65,0,-0.032986221,684098.7886
09/01/20,10,17.5,83500,2:30:00,-3970,698400,23400,31748.25,32172.7,31667.15,32092.4,0,0.022909352,699771.0487
15/01/20,10,17.4,32450,3:25:00,2180,700580,25580,31994.75,32000.9,31670.35,31824.9,0,-0.008335307,693938.2423
16/01/20,10,17.4,70100,2:30:00,8780,709360,34360,31810.55,31988.9,31692.4,31853.9,0,0.000911236,694570.584
16/01/20,10,17.4,70100,2:30:00,8780,718140,43140,31810.55,31988.9,31692.4,31853.9,0,0,694570.584
22/01/20,10,18.7,27800,10:30:00,-8730,709410,34410,31061.6,31149.05,30614,30701.45,0,-0.036179243,669441.5458
23/01/20,10,18.4,149750,2:30:00,20250,729660,54660,30742.2,31087.25,30621.35,31004.05,0,0.009856212,676039.7036
28/01/20,10,32.2,182275,3:25:00,-12800,716860,41860,30922,31048.45,30656.35,30761.4,0,-0.007826397,670748.7486
29/01/20,10,22.1,90000,3:25:00,630,717490,42490,30915.1,31082.85,30835.8,30877,0,0.003757956,673269.3931
30/01/20,10,21.2,143500,2:30:00,1600,719090,44090,30889.25,30909.5,30521.3,30647.4,0,-0.007435956,668262.9918
05/02/20,10,17.9,30875,3:25:00,3080,722170,47170,30761.95,31065.85,30630.85,31001.95,0,0.011568681,675993.9133
05/02/20,10,17.9,30875,3:25:00,3080,725250,50250,30761.95,31065.85,30630.85,31001.95,0,0,675993.9133
06/02/20,10,17,83500,2:30:00,510,725760,50760,31070.75,31470.65,30917.25,31304.05,0,0.009744548,682581.1687
12/02/20,10,16.1,30625,3:25:00,3100,728860,53860,31441.15,31588.6,31398.15,31492.9,0,0.006032766,686699.021
13/02/20,10,14.9,61875,2:30:00,10200,739060,64060,31586.55,31649.45,31180.6,31230.25,0,-0.008339975,680971.9683
19/02/20,10,17.1,30510,10:00:00,-10300,728760,53760,30905,30947.15,30606.15,30838.2,0,-0.012553534,672423.3636
26/02/20,10,19,30755,3:25:00,9100,737860,62860,30279.95,30515.35,30131.75,30306.85,0,-0.017230253,660837.3387
27/02/20,10,20,128700,2:30:00,8190,746050,71050,30270,30271.95,29914.15,30187,0,-0.003954552,658224.0234
04/03/20,10,25.7,54330,1:10:00,-21100,724950,49950,29252.95,29273.65,28125.15,28653.7,0,-0.050793388,624790.5952
05/03/20,10,24.6,125700,2:30:00,16780,741730,66730,28830.3,29134.3,28535.6,28815.35,0,0.005641505,628315.3547
11/03/20,10,32,32950,10:00:00,12100,753830,78830,26272.75,26791.45,26234.1,26487.8,0,-0.080774657,577563.3977
01/04/20,10,75.7,202525,9:50:00,-68600,685230,10230,19122.4,19154.75,18042.25,18208.35,0,-0.312575978,397030.9536
09/04/20,10,67.1,293060,2:30:00,-35300,649930,-25070,19553.15,19988.3,19166.9,19913.6,0,0.093652088,434213.7315
16/04/20,10,65.9,160650,2:30:00,-10240,639690,-35310,18957.15,19520.3,18703.45,19400,0,-0.025791419,423014.7432
22/04/20,10,70.1,78890,3:25:00,9630,649320,-25680,19306.95,19806.35,19051.95,19701.85,0,0.015559278,429596.5474
29/04/20,10,45,51975,3:25:00,-4436,644884,-30116,20440.4,21348.15,20393.65,21090.2,0,0.070468002,459869.3576
30/04/20,10,41.9,182700,2:30:00,33400,678284,3284,21589.2,21967,21353.65,21534.5,0,0.021066657,469557.2674
07/05/20,10,54.8,187375,2:30:00,29800,708084,33084,19536.05,19757.25,19332.15,19491.8,0,-0.09485709,425016.4315
13/05/20,10,57,43275,11:15:00,13200,721284,46284,20017.75,20122.25,19429.9,19634.95,0,0.007344114,428137.8006
14/05/20,10,56.7,159780,2:30:00,30750,752034,77034,19197.7,19380.1,19024.75,19068.5,0,-0.028849068,415786.4243
20/05/20,10,57.5,57625,3:25:00,1490,753524,78524,17486.5,18002.65,17407.7,17840.2,0,-0.064415135,389003.4857
27/05/20,10,44,46550,3:25:00,-14300,739224,64224,17603.4,18874.25,17560.35,18710.55,0,0.048785888,407981.3662
28/05/20,10,44,202575,2:30:00,14650,753874,78874,18924.45,19455.55,18818.95,19169.8,0,0.024544976,417995.259
03/06/20,10,48.6,67450,3:25:00,4200,758074,83074,20966.6,21619.55,20822,20940.7,0,0.092379681,456609.5275
04/06/20,10,46.7,164600,2:30:00,9580,767654,92654,20932.35,21141.8,20316.2,20390.45,0,-0.026276581,444611.3902
04/06/20,10,46.7,164600,2:30:00,9580,777234,102234,20932.35,21141.8,20316.2,20390.45,0,0,444611.3902
