Date,No of Lots,VIX,Max Debit,Profit,Exit,NAV,nf nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
01/01/20,10,11.5,40500,5050,3:25:00,705050,30050,12202.15,12222.2,12165.3,12182.5,0,,700000
02/01/20,10,11.5,48000,-4150,2:30:00,700900,25900,12198.55,12289.9,12195.25,12282.2,0,0.00818387,705728.7092
03/01/20,10,12.6,26825,3590,3:25:00,704490,29490,12261.1,12265.6,12191.35,12226.65,0,-0.004522805,702536.8356
08/01/20,10,15.6,36000,6200,10:35:00,710690,35690,11939.1,12044.95,11929.6,12025.35,0,-0.016464036,690970.2442
09/01/20,10,14.1,50300,-2587,2:30:00,708103,33103,12153.15,12224.05,12132.55,12215.9,0,0.015845693,701919.1463
10/01/20,10,14.1,15950,-2600,9:35:00,705503,30503,12271,12311.2,12213.2,12256.8,0,0.003348096,704269.2387
15/01/20,10,14.2,26500,4610,2:30:00,710113,35113,12349.4,12355.15,12278.75,12343.3,0,0.007057307,709239.4829
16/01/20,10,16.15,33800,5300,10:35:00,715413,40413,12347.1,12389.05,12315.8,12355.5,0,0.00098839,709940.4884
16/01/20,10,16.15,33800,5300,10:35:00,720713,45713,12347.1,12389.05,12315.8,12355.5,0,0,709940.4884
17/01/20,10,14.2,60500,2330,3:25:00,723043,48043,12328.4,12385.45,12321.4,12352.35,0,-0.000254947,709759.4911
22/01/20,10,15.77,80000,-14000,10:20:00,709043,34043,12218.35,12225.05,12087.9,12106.9,0,-0.019870713,695656.064
23/01/20,10,16.35,0,0,NT,709043,34043,12123.75,12189,12094.1,12180.35,0,0.006066788,699876.4621
24/01/20,10,15.8,58500,200,3:25:00,709243,34243,12174.55,12272.15,12149.65,12248.25,0,0.005574552,703777.9602
29/01/20,10,16.7,75150,4920,3:25:00,714163,39163,12114.9,12169.6,12103.8,12129.5,0,-0.009695263,696954.6481
30/01/20,10,16.6,88200,9200,12:45:00,723363,48363,12147.75,12150.3,12010.6,12035.8,0,-0.007724968,691570.6957
31/01/20,10,16.8,10500,-2510,9:40:00,720853,45853,12100.4,12103.55,11945.85,11962.1,0,-0.006123399,687335.9327
05/02/20,10,14.36,43500,7210,11:00:00,728063,53063,12005.85,12098.15,11953.35,12089.15,0,0.010621045,694636.1584
05/02/20,10,14.36,43500,7210,11:00:00,735273,60273,12005.85,12098.15,11953.35,12089.15,0,0,694636.1584
06/02/20,10,13.9,54000,9700,1:55:00,744973,69973,12120,12160.6,12084.65,12137.95,0,0.004036678,697440.1806
07/02/20,10,14.36,17300,3220,12:25:00,748193,73193,12151.15,12154.7,12073.95,12098.35,0,-0.003262495,695164.7856
12/02/20,10,13.5,31400,2200,3:25:00,750393,75393,12151,12231.75,12144.3,12201.2,0,0.008501159,701074.4921
13/02/20,10,13.4,0,0,NT,750393,75393,12219.55,12225.65,12139.8,12174.65,0,-0.002176015,699548.9432
14/02/20,10,13.5,49200,-8280,10:50:00,742113,67113,12190.15,12246.7,12091.2,12113.45,0,-0.005026839,696032.4236
19/02/20,10,13.9,70700,6820,3:25:00,748933,73933,12090.6,12134.7,12042.1,12125.9,0,0.001027783,696747.794
20/02/20,10,13.95,78900,12100,2:10:00,761033,86033,12119,12152,12071.45,12080.85,0,-0.003715188,694159.2448
26/02/20,10,17,72300,10600,1:25:00,771633,96633,11738.55,11783.25,11639.6,11678.5,0,-0.033304776,671040.4268
27/02/20,10,18,95000,7715,2:30:00,779348,104348,11661.25,11663.85,11536.7,11633.3,0,-0.00387036,668443.2588
28/02/20,10,13.9,23000,6420,9:30:00,785768,110768,11382,11384.8,11175.05,11201.75,0,-0.037096095,643646.6243
04/03/20,10,24.5,71900,11400,11:05:00,797168,122168,11351.35,11356.6,11082.15,11251,0,0.004396634,646476.5032
05/03/20,10,23.5,106000,-16900,11:05:00,780268,105268,11306.05,11389.5,11244.6,11269,0,0.001599858,647510.7737
06/03/20,10,24.5,39800,-8440,9:40:00,771828,96828,10942.65,11035.1,10827.4,10989.45,0,-0.024806993,631447.9787
